tmin,tier,text,tmax
1.240,BBP1,1.535
1.649,BBP2,1.831
1.877,BBP3,2.065
2.187,BBP4,2.488
3.222,BBP5,3.540
3.639,BBP6,3.819
3.874,BBP7,4.083
4.187,BBP8,4.467
5.410,BBP9,5.756
5.885,BBP10,6.056
6.121,BBP11,6.292
6.429,BBP12,6.715
7.795,BBP13,8.217
8.322,BBP14,8.497
8.553,BBP15,8.740
8.875,BBP16,9.122
10.263,BBP17,10.602
10.848,BBP18,11.030
11.095,BBP19,11.287
11.430,BBP20,11.704
12.659,BBP21,12.906
13.016,BBP22,13.196
13.270,BBP23,13.499
13.641,BBP24,13.865
14.956,BBP25,15.239
15.345,BBP26,15.509
15.591,BBP27,15.773
15.906,BBP28,16.128
